x,y
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.2
0.0,0.2
0.0,0.2
0.0,0.2
0.0,0.2
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
-0.1,0.4
-0.1,0.4
-0.1,0.4
-0.1,0.4
-0.1,0.4
-0.1,0.5
-0.1,0.5
-0.1,0.6
-0.1,0.6
-0.1,0.7
-0.1,0.7
-0.2,0.8
-0.2,0.8
-0.2,0.9
-0.2,0.9
-0.2,1.0
-0.2,1.0
-0.3,1.1
-0.3,1.1
-0.3,1.1
-0.3,1.2
-0.3,1.2
-0.3,1.2
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.3,1.3
-0.4,1.4
-0.4,1.4
-0.4,1.4
-0.4,1.4
-0.4,1.4
-0.4,1.4
-0.4,1.5
-0.4,1.5
-0.4,1.6
-0.4,1.6
-0.4,1.6
-0.4,1.6
-0.4,1.7
-0.4,1.7
-0.4,1.7
-0.4,1.7
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,1.9
-0.5,2.0
-0.5,2.0
-0.5,2.0
-0.5,2.0
-0.5,2.0
-0.5,2.0
-0.5,2.0
-0.5,2.0
-0.5,2.0
-0.5,2.0
-0.5,2.0
-0.6,2.2
-0.6,2.2
-0.6,2.2
-0.6,2.2
-0.6,2.2
-0.6,2.2
-0.6,2.2
-0.6,2.2
-0.6,2.2
-0.6,2.2
-1.6,1.8
-1.6,1.8
-1.6,1.8
-1.6,1.8
-1.6,1.6
-1.6,1.6
-1.6,1.6
-1.6,1.6
-1.6,1.6
-1.5,1.6
-1.5,1.6
-1.5,1.6
-1.5,1.6
-1.5,1.4
-1.5,1.4
-1.5,1.4
-1.5,1.4
-1.5,1.4
-1.5,1.3
-1.5,1.3
-1.5,1.3
-1.5,1.3
-1.5,1.3
-1.5,1.3
-1.5,1.3
-1.5,1.3
-1.5,1.3
