x,y
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-0.2
0.0,-0.2
0.0,-0.2
0.0,-0.2
0.0,-0.2
0.0,-0.2
0.0,-0.2
0.0,-0.2
0.0,-0.2
0.1,-0.2
0.1,-0.2
0.1,-0.2
0.1,-0.2
0.1,-0.2
0.1,-0.2
0.1,-0.2
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
0.1,-0.3
-0.9,-0.9
-0.9,-0.9
-0.9,-0.9
-0.9,-0.9
-0.9,-0.9
-0.9,-0.9
-0.8,-1.0
-0.8,-1.0
-0.8,-1.0
-0.8,-1.0
-0.8,-1.0
-0.8,-1.0
-0.8,-1.0
-0.8,-1.0
-0.8,-1.0
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
-0.7,-1.1
0.3,-0.6
0.3,-0.6
0.3,-0.6
0.3,-0.6
0.3,-0.6
0.3,-0.6
0.2,-0.4
0.1,-0.3
0.1,-0.2
0.0,-0.2
0.0,-0.2
0.0,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.2,0.2
-0.2,0.3
-0.3,0.4
-0.3,0.4
-0.3,0.5
-0.4,0.6
-0.4,0.6
-0.4,0.7
-0.4,0.7
-1.4,0.2
-1.3,0.0
-1.3,0.0
-0.3,0.5
-0.3,0.5
-0.3,0.5
-0.3,0.5
-1.3,0.0
-1.3,0.0
-1.3,0.0
-1.3,0.0
-1.3,0.0
-1.3,0.0
-1.4,0.2
