x,y
0.0,0.0
0.0,0.0
0.0,-0.1
0.0,-0.1
-0.1,-0.2
-0.1,-0.2
-0.1,-0.2
-0.1,-0.2
-0.2,-0.3
-0.3,-0.3
-0.4,-0.4
-0.4,-0.4
-0.5,-0.5
-0.5,-0.5
-0.5,-0.5
-0.6,-0.6
-0.6,-0.6
-0.7,-0.7
-0.7,-0.7
-0.7,-0.7
-0.8,-0.7
-0.8,-0.7
-0.9,-0.8
-0.9,-0.8
-0.9,-0.8
-1.0,-0.9
-1.0,-0.9
-1.0,-0.9
-1.0,-0.9
-1.0,-0.9
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.2,-1.0
-1.2,-1.0
-1.2,-1.0
-1.3,-1.1
-1.3,-1.1
-1.3,-1.1
-1.3,-1.1
-1.3,-1.1
-1.3,-1.1
-1.3,-1.1
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.3,-1.2
-1.4,-1.3
-1.4,-1.3
-1.4,-1.3
-1.4,-1.3
-1.5,-1.3
-1.5,-1.3
-1.5,-1.3
-1.5,-1.3
-1.5,-1.3
-1.5,-1.3
-1.5,-1.3
-1.5,-1.3
-1.6,-1.4
-1.6,-1.4
-1.6,-1.4
-1.6,-1.4
-1.6,-1.4
-1.6,-1.4
-1.7,-1.5
-1.7,-1.5
-1.7,-1.5
-1.7,-1.5
-1.7,-1.5
-1.7,-1.5
-1.7,-1.5
-1.7,-1.5
-1.7,-1.5
-1.7,-1.5
-1.7,-1.5
-1.7,-1.5
