x,y
0.0,0.0
0.0,0.0
-1.1,0.0
-1.2,0.1
-1.2,0.1
-1.2,0.2
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.4
-1.2,0.4
-1.2,0.5
-1.2,0.5
-1.2,0.6
-1.2,0.6
-1.2,0.6
-1.2,0.7
-1.2,0.7
-1.2,0.7
-1.2,0.8
-1.2,0.8
-1.2,0.8
-1.2,0.8
-1.2,0.9
-1.2,0.9
-1.2,0.9
-1.2,0.9
-1.2,0.9
-1.2,0.9
-1.2,1.0
-2.3,1.0
-2.3,1.0
-2.3,1.0
-2.3,1.0
-2.3,1.0
-2.3,1.0
-2.3,1.0
-2.3,1.0
-1.2,1.0
-1.2,0.9
-1.2,0.9
-1.2,0.9
-1.2,0.9
-1.2,0.9
-1.2,0.9
-1.2,0.8
-1.2,0.8
-1.2,0.8
-1.2,0.8
-1.2,0.8
-1.2,0.7
-1.2,0.7
-1.2,0.7
-1.2,0.7
-1.2,0.7
-1.2,0.6
-1.2,0.6
-1.2,0.6
-1.2,0.6
-1.2,0.5
-1.2,0.5
-1.2,0.5
-1.2,0.5
-1.2,0.5
-1.2,0.4
-1.2,0.4
-1.2,0.4
-1.2,0.4
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.1
-1.2,0.1
-1.2,0.1
-1.2,0.1
-1.2,0.1
-1.2,0.1
-1.2,0.1
-1.2,0.1
-1.2,0.1
-1.2,0.1
-1.2,0.2
-1.2,0.1
-1.2,0.1
-1.2,0.1
-1.2,0.1
-1.2,0.1
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.2
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.3
-1.2,0.4
-1.2,0.4
-1.2,0.4
-1.2,0.4
-1.2,0.4
-1.2,0.5
-1.2,0.5
