x,y
0.0,0.0
-0.3,0.3
-0.4,0.3
-0.4,0.3
-0.4,0.4
-0.5,0.5
-0.5,0.5
-1.4,-0.2
-1.5,-0.1
-1.5,-0.1
-1.6,0.0
-1.6,0.0
-1.6,0.0
-1.7,0.1
-1.8,0.2
-1.8,0.2
-1.9,0.3
-1.9,0.4
-1.9,0.4
-2.0,0.5
-2.0,0.5
-2.0,0.5
-1.9,0.4
-1.9,0.4
-1.9,0.3
-1.9,0.3
-1.9,0.3
-1.9,0.3
-1.9,0.3
-1.9,0.3
-1.9,0.3
-1.9,0.3
-1.9,0.3
-1.9,0.3
-1.7,0.1
-1.6,0.0
-1.6,0.0
-1.5,-0.1
-1.5,-0.1
-1.4,-0.2
-1.3,-0.2
-1.3,-0.2
-1.3,-0.3
-1.2,-0.4
-1.2,-0.4
-1.1,-0.5
-1.1,-0.5
-1.0,-0.6
-0.1,0.1
-0.1,0.1
0.0,0.0
0.0,0.0
0.1,-0.1
0.1,-0.2
0.1,-0.2
0.2,-0.3
0.2,-0.3
0.3,-0.3
0.3,-0.3
0.4,-0.4
0.3,-0.3
0.3,-0.3
0.3,-0.3
0.3,-0.3
0.3,-0.3
0.2,-0.3
0.2,-0.3
0.1,-0.2
0.1,-0.2
0.1,-0.2
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.0,0.0
0.0,0.0
0.0,0.0
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-1.0,-0.6
-1.0,-0.6
-1.0,-0.6
-1.1,-0.5
-1.1,-0.5
-1.2,-0.4
-1.2,-0.4
-1.2,-0.4
-1.3,-0.3
-1.3,-0.3
-1.3,-0.3
-1.3,-0.3
-1.3,-0.3
-1.3,-0.3
-1.3,-0.2
-1.3,-0.2
-1.3,-0.2
-1.3,-0.2
-1.3,-0.2
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.6,0.6
-0.6,0.6
-0.6,0.6
-0.6,0.6
-0.6,0.6
-0.6,0.6
-0.6,0.6
-0.6,0.6
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.4,0.4
-0.4,0.4
-0.4,0.4
-0.4,0.4
-0.4,0.4
-0.4,0.3
-0.4,0.3
-0.4,0.3
-0.4,0.3
-0.3,0.3
-0.3,0.3
-0.3,0.3
-0.3,0.3
0.6,1.0
0.6,1.0
0.6,1.0
0.6,1.0
0.6,1.0
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.8
0.7,0.8
0.7,0.8
0.7,0.8
0.7,0.8
0.7,0.8
0.7,0.8
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.9,0.6
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.8,0.7
0.7,0.8
0.7,0.8
0.7,0.8
0.7,0.8
0.7,0.8
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.9
0.6,1.0
0.6,1.0
0.6,1.0
0.6,1.0
0.6,1.0
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.5,1.1
0.6,1.0
0.6,1.0
0.6,1.0
0.6,1.0
0.6,1.0
0.6,1.0
0.6,1.0
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.9
0.7,0.9
1.5,1.6
1.5,1.6
1.5,1.6
1.5,1.6
1.5,1.6
1.5,1.6
1.5,1.6
1.5,1.6
1.5,1.6
1.5,1.6
1.5,1.6
1.4,1.7
1.4,1.7
1.4,1.7
1.4,1.7
1.4,1.7
1.4,1.7
1.4,1.7
1.4,1.7
1.4,1.7
1.4,1.7
1.3,1.8
1.3,1.8
1.3,1.8
1.3,1.8
1.3,1.9
1.3,1.9
1.3,1.9
0.5,1.1
0.5,1.1
0.5,1.1
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.4,1.2
