x,y
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.1,-0.1
0.2,-0.1
0.2,-0.1
0.2,-0.1
0.5,0.4
0.5,0.4
0.5,0.4
0.5,0.4
0.5,0.4
0.5,0.4
0.5,0.4
0.5,0.4
0.5,0.4
0.5,0.4
0.5,0.4
0.6,0.3
0.6,0.3
0.6,0.3
0.6,0.3
0.6,0.3
0.6,0.3
0.5,0.4
0.4,0.4
0.3,0.5
0.4,0.7
0.4,0.7
0.3,0.8
0.5,1.2
0.4,1.2
0.4,1.2
0.4,1.2
0.3,1.3
0.5,1.7
0.5,1.7
0.5,1.7
0.5,1.7
0.4,1.8
0.3,1.8
0.3,1.8
0.2,1.9
0.1,2.0
0.0,2.0
0.0,2.0
-0.1,2.0
-0.2,2.1
-0.2,2.1
-0.3,2.2
-0.3,2.2
-0.4,2.2
-0.4,2.2
-0.5,2.3
-0.5,2.3
-0.6,2.3
-0.6,2.3
-0.6,2.3
-0.9,2.0
-0.9,2.0
-1.0,2.1
-1.0,2.1
-1.0,2.1
-1.1,2.1
-1.1,2.1
-1.1,2.1
-1.2,2.2
-1.2,2.2
-1.2,2.2
-1.2,2.2
-1.2,2.2
-1.2,2.2
-1.2,2.2
-1.2,2.2
-1.2,2.2
-1.2,2.2
-1.2,2.2
-1.3,1.8
-1.3,1.8
-1.3,1.8
-1.3,1.8
-1.2,1.7
-1.2,1.7
-1.1,1.6
-1.1,1.6
-1.1,1.6
-1.0,1.6
-1.1,1.4
-1.1,1.4
-1.0,1.3
-1.0,1.3
-1.0,1.3
-0.9,1.3
-0.9,1.3
-0.9,1.3
-0.9,1.2
-0.9,1.2
-0.9,1.2
