x,y
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
0.0,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.0
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.1,0.1
-0.2,0.1
-0.2,0.1
-0.2,0.1
-0.2,0.1
-0.2,0.1
-0.3,0.2
-0.3,0.2
-0.3,0.2
-0.3,0.2
-0.3,0.2
-0.3,0.2
-0.3,0.2
-0.3,0.2
-0.3,0.2
-0.3,0.2
-0.3,0.2
-0.3,0.2
-0.4,0.2
-0.4,0.2
-0.4,0.2
-0.4,0.2
-0.4,0.2
-0.4,0.2
-0.4,0.2
-0.4,0.2
-0.4,0.2
-0.4,0.2
-0.4,0.2
-0.5,0.2
-0.5,0.2
-0.5,0.2
-0.5,0.2
-0.5,0.2
-0.5,0.2
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.9,0.4
-0.9,0.4
-0.9,0.4
-0.9,0.4
-0.9,0.4
-0.9,0.4
-0.9,0.4
-0.9,0.4
-0.9,0.4
-0.9,0.4
-0.9,0.4
-0.9,0.4
-0.9,0.4
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.7,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
-0.6,0.3
